ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
CRNX,81,45.14,,,,,,,,,none,late,mid,False,74.06,60,,,,,,6,Baker Bros; Perceptive,,,,,,50,unknown,64.8,,100.0,,79.0,,0.87500,0.95,0.95,0.65,0.7
IMTX,82,45.06,,,,,,,,,none,late,small,False,40.00,60,,,,,,4,Baker Bros,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
CRL,83,45.01,,,,,,,,,none,early,large,False,54.02,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,80.0,,0.87000,0.95,0.95,0.65,0.7
GLUE,84,45.00,,,,,,,,,none,early,small,False,92.75,60,,,,,,2,Baker Bros,,,,,,50,unknown,50,,100.0,,35.0,,0.80500,0.95,0.85,0.45,0.7
RARE,85,44.74,,,,,,,,,none,late,mid,False,7.25,60,,,,,,5,Baker Bros; Perceptive,,,,,,33.82,strong,76.2,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
CATX,86,44.44,,,,,,,,,none,early,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
AMLX,87,43.89,,,,,,,,,none,late,small,False,67.57,60,,,,,,7,,,,,,,50,unknown,50,,100.0,,79.0,,0.83000,0.95,0.95,0.45,0.7
NAMS,88,43.89,,,,,,,,,none,late,mid,False,14.53,60,,,,,,3,RA Capital,,,,,,50,unknown,50,,100.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
CDNA,89,43.85,,,,,,,,,none,early,small,False,77.60,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
CABA,90,43.42,,,,,,,,,sev1,early,micro,False,66.29,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,66.0,,0.83000,0.95,0.95,0.45,0.7
