ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
ALDX,46,51.07,,,,,,,,,none,late,small,True,28.06,60,-0.1539,50.00,50.00,0,54.80,2,,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,84.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
MNKD,47,50.92,,,,,,,,,none,late,small,True,47.81,60,-0.0162,63.40,49.41,16.78,50.00,0,,53.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
RIGL,48,50.74,,,,,,,,,none,late,small,True,35.68,60,-0.1061,50.00,50.00,0,50.60,1,,57.00,MEDIUM,MODERATE,82.14,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
JANX,49,50.53,,,,,,,,,none,early,small,True,7.25,60,-0.5851,50.00,50.00,0,57.00,6,RA Capital,48.00,MEDIUM,LOW,41.07,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.80500,0.95,0.85,0.45,0.7
NBIX,50,50.44,,,,,,,,,none,late,large,True,13.00,60,-0.2597,73.80,78.40,89.14,67.40,11,,60.00,LOW,LOW,46.43,ev_cfo,0.8000,38.30,strong,Takeda,69.0,ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
APLS,51,50.04,,,,,,,,,none,late,mid,True,9.07,60,-0.2872,50.00,50.00,0,54.80,2,,71.00,MEDIUM,MODERATE,32.14,ev_cfo,0.8000,49.75,exceptional,Swedish Orphan Biovitrum,69.0,ODD; BTD,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
TARS,52,49.90,,,,,,,,,none,early,mid,True,22.77,60,-0.1911,50.00,50.00,0,59.60,6,,86.00,LOW,MODERATE,38.83,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,68.0,diversified,0.83500,0.95,0.95,0.45,0.7
INVA,53,49.84,,,,,,,,,none,early,small,True,24.87,60,-0.1764,50.00,50.00,0,50.00,0,,66.00,LOW,MODERATE,89.29,ev_cfo,0.8000,50,unknown,,50,,20.0,uncrowded,46.0,concentrated,0.80500,0.95,0.85,0.45,0.7
TRVI,54,49.80,,,,,,,,,none,mid,small,True,30.83,60,-0.1420,98.00,80.39,39.31,50.60,1,,66.00,LOW,MODERATE,51.82,mcap_per_trial,0.8000,50,unknown,,50,,60.0,uncrowded,75.0,diversified,0.87000,0.95,0.95,0.65,0.7
BBOT,55,49.79,,,,,,,,,none,early,small,True,44.79,60,-0.0386,50.00,50.00,0,50.00,0,,47.00,LOW,LOW,23.21,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,52.0,concentrated,0.80000,0.95,0.85,0.45,0.7
MLYS,56,49.73,,,,,,,,,none,late,mid,True,61.47,60,0.0849,50.00,50.00,0,63.00,5,Perceptive; RA Capital,57.00,LOW,MODERATE,22.05,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
IDYA,57,49.67,,,,,,,,,none,mid,mid,True,41.99,60,-0.0593,50.00,50.00,0,59.00,5,Baker Bros,68.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83000,0.95,0.95,0.45,0.7
EXEL,58,49.64,,,,,,,,,none,late,large,True,30.73,60,-0.1428,57.52,42.15,6.29,54.20,5,,65.00,LOW,MODERATE,62.14,ev_cfo,0.8000,50,unknown,,73.8,ODD; BTD; FT,100.0,highly_crowded,83.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.7
PTCT,59,49.33,,,,,,,,,none,late,mid,True,54.00,60,0.0296,50.00,50.00,0,59.60,9,,79.00,MEDIUM,MODERATE,87.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
