ticker,cusip,name,exchange,security_type
TXG,,TXG,NASDAQ,Common Stock
TYRA,,TYRA,NASDAQ,Common Stock
UPB,,UPB,NASDAQ,Common Stock
URGN,,URGN,NASDAQ,Common Stock
USD,,USD,NASDAQ,Common Stock
VCEL,,VCEL,NASDAQ,Common Stock
VERA,,VERA,NASDAQ,Common Stock
VIR,,VIR,NASDAQ,Common Stock
VNDA,,VNDA,NASDAQ,Common Stock
VTYX,,VTYX,NASDAQ,Common Stock
VYGR,,VYGR,NASDAQ,Common Stock
WVE,,WVE,NASDAQ,Common Stock
XENE,,XENE,NASDAQ,Common Stock
XNCR,,XNCR,NASDAQ,Common Stock
XTSLA,,XTSLA,NASDAQ,Common Stock
ZBIO,,ZBIO,NASDAQ,Common Stock
ZLAB,,ZLAB,NASDAQ,Common Stock
ZVRA,,ZVRA,NASDAQ,Common Stock
ZYME,,ZYME,NASDAQ,Common Stock
-,,-,NASDAQ,Common Stock
AMPH,,AMPH,NASDAQ,Common Stock
AMRX,,AMRX,NASDAQ,Common Stock
ANIP,,ANIP,NASDAQ,Common Stock
AQST,,AQST,NASDAQ,Common Stock
ARDX,,ARDX,NASDAQ,Common Stock
AZN,,AZN,NASDAQ,Common Stock
CHRS,,CHRS,NASDAQ,Common Stock
COLL,,COLL,NASDAQ,Common Stock
CRMD,,CRMD,NASDAQ,Common Stock
EOLS,,EOLS,NASDAQ,Common Stock
ESPR,,ESPR,NASDAQ,Common Stock
ETON,,ETON,NASDAQ,Common Stock
EYPT,,EYPT,NASDAQ,Common Stock
GH,,GH,NASDAQ,Common Stock
HRMY,,HRMY,NASDAQ,Common Stock
HROW,,HROW,NASDAQ,Common Stock
INDV,,INDV,NASDAQ,Common Stock
INVA,,INVA,NASDAQ,Common Stock
IVVD,,IVVD,NASDAQ,Common Stock
KMDA,,KMDA,NASDAQ,Common Stock
KNSA,,KNSA,NASDAQ,Common Stock
LFCR,,LFCR,NASDAQ,Common Stock
NAME,,NAME,NASDAQ,Common Stock
OBIO,,OBIO,NASDAQ,Common Stock
OCUL,,OCUL,NASDAQ,Common Stock
OMER,,OMER,NASDAQ,Common Stock
PAHC,,PAHC,NASDAQ,Common Stock
PBYI,,PBYI,NASDAQ,Common Stock
RANI,,RANI,NASDAQ,Common Stock
RPRX,,RPRX,NASDAQ,Common Stock
SIGA,,SIGA,NASDAQ,Common Stock
SNY,,SNY,NASDAQ,Common Stock
SUPN,,SUPN,NASDAQ,Common Stock
