Rank,Ticker,Composite_Score,Financial_Score,Clinical_Score,Catalyst_Score,Stage,Market_Cap_MM
175,NVCR,45.63,62.89,,50.00,early,
176,SNY,45.41,58.18,,50.00,late,
177,BBIO,45.36,88.18,,50.00,late,
178,MRVI,45.30,61.86,,50.00,early,
179,MRNA,45.18,22.73,,50.00,late,
180,AQST,45.14,61.34,,50.00,early,
181,AMLX,44.97,60.82,,50.00,early,
182,IVVD,44.81,60.31,,50.00,early,
183,ROIV,44.65,59.79,,50.00,early,
184,DVAX,44.49,59.28,,50.00,early,
185,GOSS,44.45,0.91,,50.00,late,
186,CSTL,44.16,58.25,,50.00,early,
187,TVTX,44.05,52.73,,50.00,late,
188,PRTA,43.84,57.22,,50.00,early,
189,BMRN,43.53,88.66,,50.00,early,
190,SION,43.00,11.82,,50.00,late,
191,PRAX,42.68,7.27,,50.00,late,
192,ABVX,42.38,52.58,,50.00,early,
193,ACIU,42.38,52.58,,50.00,early,
194,AKRO,42.38,52.58,,50.00,early,
195,ASND,42.38,52.58,,50.00,early,
196,BGXX,42.38,52.58,,50.00,early,
197,BNTX,42.38,52.58,,50.00,early,
198,ELVN,42.38,52.58,,50.00,early,
199,EWTX,42.38,52.58,,50.00,early,
200,FDMT,42.38,52.58,,50.00,early,
201,FHTX,42.38,52.58,,50.00,early,
202,FLGT,42.38,52.58,,50.00,early,
203,GHRS,42.38,52.58,,50.00,early,
204,IDYA,42.38,52.58,,50.00,early,
205,PHVS,42.38,52.58,,50.00,early,
206,STVN,42.38,52.58,,50.00,early,
207,BEAM,41.95,29.09,,50.00,late,
208,RANI,41.63,6.36,,50.00,late,
209,IMMP,41.23,58.18,,50.00,late,
210,KALV,41.23,50.91,,50.00,late,
211,ADRO,40.98,70.45,,50.00,late,
212,AXSM,40.92,47.94,,50.00,early,
213,MRSN,40.75,47.42,,50.00,early,
214,DRMA,40.59,46.91,,50.00,early,
215,TNYA,40.43,46.39,,50.00,early,
216,RXRX,40.27,45.88,,50.00,early,
217,LRMR,40.10,45.36,,50.00,early,
218,STRO,39.94,44.85,,50.00,early,
219,NGNE,39.78,44.33,,50.00,early,
220,ALLO,39.73,30.00,,50.00,late,
221,PRME,39.55,26.36,,50.00,late,
222,WVE,39.50,46.67,,50.00,mid,
223,TRDA,39.46,43.30,,50.00,early,
224,BCAX,39.29,42.78,,50.00,early,
225,VERA,39.28,2.73,,50.00,late,
226,MYGN,39.13,42.27,,50.00,early,
227,SGMO,38.81,41.24,,50.00,early,
228,SLN,38.50,47.27,,50.00,late,
229,ANNX,38.48,40.21,,50.00,early,
230,RCKT,38.32,39.69,,50.00,early,
231,TYRA,38.17,20.00,,50.00,mid,
232,VNDA,38.16,39.18,,50.00,early,
233,INBX,37.99,38.66,,50.00,early,
234,AUTL,37.83,38.14,,50.00,early,
235,CDXS,37.67,37.63,,50.00,early,
236,CGEM,37.51,37.11,,50.00,early,
237,ARGX,37.23,58.18,,50.00,late,
238,OBIO,37.18,36.08,,50.00,early,
239,REPL,36.86,35.05,,50.00,early,
240,AVBP,36.70,34.54,,50.00,early,
241,AARD,36.53,34.02,,50.00,early,
242,OCUL,36.41,38.18,,50.00,late,
243,ZBIO,36.37,33.51,,50.00,early,
244,ATXS,36.21,32.99,,50.00,early,
245,CATX,36.04,32.47,,50.00,early,
246,EOLS,35.88,31.96,,50.00,early,
247,ESPR,35.86,30.91,,50.00,late,
248,QTRX,35.72,31.44,,50.00,early,
249,GRAL,35.68,9.09,,50.00,late,
250,BHVN,35.56,30.93,,50.00,early,
251,TARS,35.55,19.09,,50.00,late,
252,ABCL,35.04,21.82,,50.00,late,
253,MLYS,34.91,28.87,,50.00,early,
254,LEGN,34.86,58.18,,50.00,late,
255,LENZ,34.86,14.55,,50.00,late,
256,LCTX,34.75,28.35,,50.00,early,
257,PYXS,34.59,27.84,,50.00,early,
258,LFCR,34.42,27.32,,50.00,early,
259,ENTA,34.32,58.18,,50.00,late,
260,URGN,34.26,26.80,,50.00,early,
261,OCGN,34.10,26.29,,50.00,early,
262,PACB,33.93,25.77,,50.00,early,
263,LQDA,33.77,25.26,,50.00,early,
264,RGNX,33.61,24.74,,50.00,early,
265,FULC,33.45,24.23,,50.00,early,
